"times","accel","set"
2.4,0,"test"
2.6,-1.3,"train"
3.2,-2.7,"train"
3.6,0,"train"
4,-2.7,"train"
6.2,-2.7,"train"
6.6,-2.7,"train"
6.8,-1.3,"train"
7.8,-2.7,"test"
8.2,-2.7,"train"
8.8,-1.3,"test"
8.8,-2.7,"test"
9.6,-2.7,"test"
10,-2.7,"train"
10.2,-5.4,"test"
10.6,-2.7,"test"
11,-5.4,"test"
11.4,0,"train"
13.2,-2.7,"train"
13.6,-2.7,"train"
13.8,0,"train"
14.6,-13.3,"train"
14.6,-5.4,"train"
14.6,-5.4,"train"
14.6,-9.3,"train"
14.6,-16,"test"
14.6,-22.8,"train"
14.8,-2.7,"train"
15.4,-22.8,"train"
15.4,-32.1,"train"
15.4,-53.5,"train"
15.4,-54.9,"train"
15.6,-40.2,"test"
15.6,-21.5,"test"
15.8,-21.5,"train"
15.8,-50.8,"train"
16,-42.9,"train"
16,-26.8,"test"
16.2,-21.5,"test"
16.2,-50.8,"train"
16.2,-61.7,"test"
16.4,-5.4,"train"
16.4,-80.4,"train"
16.6,-59,"test"
16.8,-71,"train"
16.8,-91.1,"train"
16.8,-77.7,"test"
17.6,-37.5,"train"
17.6,-85.6,"test"
17.6,-123.1,"test"
17.6,-101.9,"train"
17.8,-99.1,"train"
17.8,-104.4,"test"
18.6,-112.5,"test"
18.6,-50.8,"train"
19.2,-123.1,"train"
19.4,-85.6,"train"
19.4,-72.3,"train"
19.6,-127.2,"train"
20.2,-123.1,"train"
20.4,-117.9,"test"
21.2,-134,"train"
21.4,-101.9,"test"
21.8,-108.4,"train"
22,-123.1,"train"
23.2,-123.1,"train"
23.4,-128.5,"train"
24,-112.5,"test"
24.2,-95.1,"train"
24.2,-81.8,"train"
24.6,-53.5,"test"
25,-64.4,"test"
25,-57.6,"test"
25.4,-72.3,"train"
25.4,-44.3,"test"
25.6,-26.8,"train"
26,-5.4,"train"
26.2,-107.1,"train"
26.2,-21.5,"train"
26.4,-65.6,"test"
27,-16,"test"
27.2,-45.6,"test"
27.2,-24.2,"train"
27.2,9.5,"train"
27.6,4,"train"
28.2,12,"train"
28.4,-21.5,"train"
28.4,37.5,"train"
28.6,46.9,"train"
29.4,-17.4,"train"
30.2,36.2,"train"
31,75,"train"
31.2,8.1,"test"
32,54.9,"test"
32,48.2,"train"
32.8,46.9,"train"
33.4,16,"test"
33.8,45.6,"train"
34.4,1.3,"train"
34.8,75,"train"
35.2,-16,"train"
35.2,-54.9,"train"
35.4,69.6,"train"
35.6,34.8,"train"
35.6,32.1,"train"
36.2,-37.5,"test"
36.2,22.8,"train"
38,46.9,"test"
38,10.7,"train"
39.2,5.4,"test"
39.4,-1.3,"train"
40,-21.5,"train"
40.4,-13.3,"train"
41.6,30.8,"test"
41.6,-10.7,"train"
42.4,29.4,"train"
42.8,0,"test"
42.8,-10.7,"test"
43,14.7,"train"
44,-1.3,"train"
44.4,0,"test"
45,10.7,"train"
46.6,10.7,"train"
47.8,-26.8,"train"
47.8,-14.7,"test"
48.8,-13.3,"train"
50.6,0,"train"
52,10.7,"train"
53.2,-14.7,"test"
55,-2.7,"train"
55,10.7,"train"
55.4,-2.7,"test"
57.6,10.7,"test"
